"session_id","shiny_token","ts","client_ts","x","y","width","height","client_x","client_y"
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:22.951",1788283942936,91,193,1041,987,1166,210
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:24.329",1788283943152,852,151,1041,987,1927,168
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:24.338",1788283943352,630,238,1041,987,1705,255
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:24.347",1788283943552,542,268,1041,987,1617,285
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:24.816",1788283943869,543,274,1041,987,1618,291
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:25.051",1788283944874,1020,870,1041,987,2095,887
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:25.347",1788283945087,747,870,1041,987,1822,887
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:25.357",1788283945287,822,897,1041,987,1897,914
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:26.374",1788283946209,912,1003,1041,987,1987,1020
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:29.869",1788283948095,920,888,1041,987,1995,905
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:45.322",1788283965317,930,658,1041,987,2005,675
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:32:45.530",1788283965524,971,697,1041,987,2046,714
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:33:04.543",1788283984527,1007,839,1041,987,2082,856
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:33:04.893",1788283984743,626,964,1041,987,1701,981
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:33:11.079",1788283991051,976,567,1041,987,2051,584
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:33:11.277",1788283991267,132,991,1041,987,1207,1008
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:33:12.225",1788283991785,-58,1003,1041,987,1017,1020
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:33:12.248",1788283992001,-113,991,1041,987,962,1008
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:33:12.281",1788283992268,-78,994,1041,987,997,1011
"b7f166dc614e307bf3b63f13ceb288fa","b7f166dc614e307bf3b63f13ceb288fa","2026-09-01 17:33:12.675",1788283992518,-242,-10,1041,987,833,7
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:20.687",1788284360583,101,516,828,747,963,533
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:21.080",1788284360893,480,478,828,747,1342,495
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:21.109",1788284361097,317,307,828,747,1179,324
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:21.305",1788284361297,430,333,828,747,1292,350
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:21.558",1788284361541,447,294,828,747,1309,311
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:22.533",1788284362048,429,270,828,747,1291,287
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:22.546",1788284362249,429,270,828,747,1291,287
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:26.343",1788284363268,406,268,828,747,1268,285
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:29.632",1788284368972,-805,-13,828,747,57,4
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:30.003",1788284369727,-862,-11,828,747,0,6
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:34.085",1788284373258,-237,707,828,747,625,724
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:37.799",1788284377255,-196,-12,828,747,666,5
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:37.950",1788284377541,2,-14,828,747,864,3
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:54.268",1788284394199,-1,280,828,747,861,297
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:55.595",1788284394428,31,270,828,747,893,287
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:55.618",1788284394630,298,295,828,747,1160,312
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:55.635",1788284394846,209,311,828,747,1071,328
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:55.658",1788284395046,163,306,828,747,1025,323
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:55.678",1788284395246,145,325,828,747,1007,342
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:55.696",1788284395446,154,277,828,747,1016,294
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:55.719",1788284395646,144,293,828,747,1006,310
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:39:58.159",1788284398119,106,301,828,747,968,318
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:21.528",1788284421483,10,221,828,747,872,238
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:21.948",1788284421699,22,412,828,747,884,429
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:22.013",1788284421932,16,56,828,747,878,73
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:22.523",1788284422282,93,422,828,747,955,439
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:22.541",1788284422482,375,498,828,747,1237,515
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:22.701",1788284422687,482,660,828,747,1344,677
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:27.565",1788284422898,140,637,828,747,1002,654
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:27.630",1788284423195,-97,741,828,747,765,758
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:27.709",1788284423432,-381,722,828,747,481,739
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:30.359",1788284423697,-125,737,828,747,737,754
"4d8d1fe18b2b978414078d20ec4e745b","4d8d1fe18b2b978414078d20ec4e745b","2026-09-01 17:40:30.387",1788284423897,-298,734,828,747,564,751
