"session_id","time_start","browser","ip_address","time_end","penguins","silly_word","time_q_penguins","time_q_silly_word","time_p_welcome","time_p_page2","time_p_end","silly_word1","time_q_silly_word1","time_p_page0","penguins1","time_q_penguins1","penguins2","penguins4","penguins5","penguins6","time_q_penguins2","time_q_penguins4","time_q_penguins5","time_q_penguins6","penguins3","scatter_color","time_q_penguins3","time_q_scatter_color","education","time_q_education","q0_1","q0_2","q0_3","q0_4","llm_preference","llm_preference_CC","llm_preference_CE","llm_preference_RI","llm_preference_TP","llm_preference_CL","llm_preference_PO","llm_preference_MA","unique_id","q1","q1_reason","q2","q2_reason","q3","q3_reason","q4","q4_reason","q5","q5_reason","q6","q6_reason","time_q_q0_1","time_q_q0_2","time_q_q0_3","time_q_q0_4","time_q_llm_preference","time_q_llm_preference_CC","time_q_llm_preference_CE","time_q_llm_preference_RI","time_q_llm_preference_TP","time_q_llm_preference_CL","time_q_llm_preference_PO","time_q_llm_preference_MA","time_q_unique_id","time_q_q1","time_q_q1_reason","time_q_q2","time_q_q2_reason","time_q_q3","time_q_q3_reason","time_q_q4","time_q_q4_reason","time_q_q5","time_q_q5_reason","time_q_q6","time_q_q6_reason","scatter_x","scatter_y","time_q_scatter_x","time_q_scatter_y","time_p_page1","q1_flying_speed","q2_weight_speed","q3_wingspan","q4_wingspan_speed_single","q5_wingspan_speed_all","q6_claw_wingspan","time_q_q1_flying_speed","time_q_q2_weight_speed","time_q_q3_wingspan","time_q_q4_wingspan_speed_single","time_q_q5_wingspan_speed_all","time_q_q6_claw_wingspan","time_p_questions","current_page","q5_claw_wingspan","time_q_q5_claw_wingspan"
"51463f0a391a4dd7af98a5f715b3c394","2025-09-06 04:13:26 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 04:56:15 UTC",,,,,"2025-09-06 04:13:26 UTC",,"","","","",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
"2fb944e1bed600d71fd0d24fdcaa46dd","2025-09-06 05:00:31 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:01:07 UTC",,,,,"2025-09-06 05:00:31 UTC",,"","","","",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
"7a1551a985faea70618b0710433f41fc","2025-09-06 05:01:31 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:02:36 UTC",,,,,"2025-09-06 05:01:31 UTC",,"","","","",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
"45de487af988be59cc1045dda0cd6a8a","2025-09-06 05:03:40 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:05:53 UTC",,,,,"2025-09-06 05:03:40 UTC",,"","","","",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
"c95a8ec7391581b6542e865278893636","2025-09-06 05:11:39 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:12:23 UTC",,,,,"",,"","test","2025-09-06 05:11:45 UTC","2025-09-06 05:11:39 UTC",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
"09408a6d7d1c5d3253eddfaff17272f5","2025-09-06 05:19:19 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:21:26 UTC",,,,,"2025-09-06 05:19:19 UTC",,"","","","",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
"4a187ce9aa17ef26cd70e5ca518d4a3a","2025-09-06 05:58:04 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:58:10 UTC",,,,,"2025-09-06 05:58:04 UTC",,"","","","",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
"3c6b95a602e4da3583af222afe74b3ec","2025-09-06 05:32:22 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 05:58:10 UTC",,,,,"2025-09-06 05:32:22 UTC",,"","","","",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
"f56bd48794fddd0ded868f4f6f047205","2025-09-06 05:58:37 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 06:03:56 UTC",,,,,"2025-09-06 05:58:37 UTC",,"","","","",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
"70421e5282f827b4151f39f8ce679484","2025-09-06 06:12:10 UTC","Chrome v139, Windows","127.0.0.1","2025-09-06 06:12:23 UTC",,,,,"2025-09-06 06:12:10 UTC",,"","","","",,,,,,,,,,,,"",,"","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","",,
