"session_id","time_start","browser","ip_address","time_end","like_apples","time_q_like_apples","time_p_page1","scatter_color","time_q_scatter_color","q0_1","q0_2","q0_3","q0_4","llm_preference","llm_preference_CC","llm_preference_CE","llm_preference_RI","llm_preference_TP","llm_preference_CL","llm_preference_PO","llm_preference_MA","unique_id","q1","q1_reason","q2","q2_reason","q3","q3_reason","q4","q4_reason","q5","q5_reason","q6","q6_reason","time_q_q0_1","time_q_q0_2","time_q_q0_3","time_q_q0_4","time_q_llm_preference","time_q_llm_preference_CC","time_q_llm_preference_CE","time_q_llm_preference_RI","time_q_llm_preference_TP","time_q_llm_preference_CL","time_q_llm_preference_PO","time_q_llm_preference_MA","time_q_unique_id","time_q_q1","time_q_q1_reason","time_q_q2","time_q_q2_reason","time_q_q3","time_q_q3_reason","time_q_q4","time_q_q4_reason","time_q_q5","time_q_q5_reason","time_q_q6","time_q_q6_reason"
"6686c0f284361d05fd0fd2f8ad8ba82a","2025-09-18 15:14:09 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 15:16:17 UTC",,,"2025-09-18 15:14:09 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d9755dc8c78afeb8cbbcf28ca1513d22","2025-09-18 15:55:09 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 15:56:12 UTC",,,"2025-09-18 15:55:09 UTC","time","2025-09-18 15:55:29 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b34f615fe51a830478edad2bb5f55bd5","2025-09-18 16:17:28 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 16:19:25 UTC",,,"2025-09-18 16:17:28 UTC","time","2025-09-18 16:17:35 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"014d7588824670cd45ec9b4f0a548e81","2025-09-18 16:20:55 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 16:44:55 UTC",,,"2025-09-18 16:20:55 UTC","time","2025-09-18 16:21:04 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"465eda75900b87699fa809b27618e816","2025-09-18 16:46:30 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 16:56:32 UTC",,,"2025-09-18 16:46:30 UTC","time","2025-09-18 16:47:17 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52b62fbce54b04b9fdc38fc3e37a0892","2025-09-18 16:57:06 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 16:58:53 UTC",,,"2025-09-18 16:57:06 UTC","day","2025-09-18 16:58:50 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"accb385757c67c7464d9811815267461","2025-09-18 17:00:06 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:12:50 UTC",,,"2025-09-18 17:00:06 UTC","time","2025-09-18 17:05:29 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5c2b4cf7022aa25db699e2c77839545b","2025-09-18 17:12:01 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:12:06 UTC",,,"2025-09-18 17:12:01 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"011798606ec3b06e6dba4fd4648c98fd","2025-09-18 17:13:17 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:15:08 UTC",,,"2025-09-18 17:13:17 UTC","time","2025-09-18 17:13:21 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06dc10b86ce858ee8c1fc750484a62c8","2025-09-18 17:15:35 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:16:27 UTC",,,"2025-09-18 17:15:35 UTC","day","2025-09-18 17:15:39 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3c8bec40329f3503f99bea9bf6e6c4b3","2025-09-18 17:16:20 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:16:26 UTC",,,"2025-09-18 17:16:20 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b83166559499eeb0fa81ca4e257ada04","2025-09-18 17:17:07 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:39:27 UTC",,,"2025-09-18 17:17:07 UTC","sex","2025-09-18 17:17:12 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"06f1b13e539061a961856a23299012df","2025-09-18 17:40:22 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:41:16 UTC",,,"2025-09-18 17:40:22 UTC","time","2025-09-18 17:40:32 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
