"session_id","time_start","browser","ip_address","time_end","like_apples","time_q_like_apples","time_p_page1","scatter_color","time_q_scatter_color","q0_1","q0_2","q0_3","q0_4","llm_preference","llm_preference_CC","llm_preference_CE","llm_preference_RI","llm_preference_TP","llm_preference_CL","llm_preference_PO","llm_preference_MA","unique_id","q1","q1_reason","q2","q2_reason","q3","q3_reason","q4","q4_reason","q5","q5_reason","q6","q6_reason","time_q_q0_1","time_q_q0_2","time_q_q0_3","time_q_q0_4","time_q_llm_preference","time_q_llm_preference_CC","time_q_llm_preference_CE","time_q_llm_preference_RI","time_q_llm_preference_TP","time_q_llm_preference_CL","time_q_llm_preference_PO","time_q_llm_preference_MA","time_q_unique_id","time_q_q1","time_q_q1_reason","time_q_q2","time_q_q2_reason","time_q_q3","time_q_q3_reason","time_q_q4","time_q_q4_reason","time_q_q5","time_q_q5_reason","time_q_q6","time_q_q6_reason","scatter_x","scatter_y","time_q_scatter_x","time_q_scatter_y"
"6686c0f284361d05fd0fd2f8ad8ba82a","2025-09-18 15:14:09 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 15:16:17 UTC",,,"2025-09-18 15:14:09 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"d9755dc8c78afeb8cbbcf28ca1513d22","2025-09-18 15:55:09 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 15:56:12 UTC",,,"2025-09-18 15:55:09 UTC","time","2025-09-18 15:55:29 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"b34f615fe51a830478edad2bb5f55bd5","2025-09-18 16:17:28 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 16:19:25 UTC",,,"2025-09-18 16:17:28 UTC","time","2025-09-18 16:17:35 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"014d7588824670cd45ec9b4f0a548e81","2025-09-18 16:20:55 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 16:44:55 UTC",,,"2025-09-18 16:20:55 UTC","time","2025-09-18 16:21:04 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"465eda75900b87699fa809b27618e816","2025-09-18 16:46:30 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 16:56:32 UTC",,,"2025-09-18 16:46:30 UTC","time","2025-09-18 16:47:17 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"52b62fbce54b04b9fdc38fc3e37a0892","2025-09-18 16:57:06 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 16:58:53 UTC",,,"2025-09-18 16:57:06 UTC","day","2025-09-18 16:58:50 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"accb385757c67c7464d9811815267461","2025-09-18 17:00:06 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:12:50 UTC",,,"2025-09-18 17:00:06 UTC","time","2025-09-18 17:05:29 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"5c2b4cf7022aa25db699e2c77839545b","2025-09-18 17:12:01 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:12:06 UTC",,,"2025-09-18 17:12:01 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"011798606ec3b06e6dba4fd4648c98fd","2025-09-18 17:13:17 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:15:08 UTC",,,"2025-09-18 17:13:17 UTC","time","2025-09-18 17:13:21 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"06dc10b86ce858ee8c1fc750484a62c8","2025-09-18 17:15:35 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:16:27 UTC",,,"2025-09-18 17:15:35 UTC","day","2025-09-18 17:15:39 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"3c8bec40329f3503f99bea9bf6e6c4b3","2025-09-18 17:16:20 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:16:26 UTC",,,"2025-09-18 17:16:20 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"b83166559499eeb0fa81ca4e257ada04","2025-09-18 17:17:07 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:39:27 UTC",,,"2025-09-18 17:17:07 UTC","sex","2025-09-18 17:17:12 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"06f1b13e539061a961856a23299012df","2025-09-18 17:40:22 UTC","Chrome v140, Windows","127.0.0.1","2025-09-18 17:41:16 UTC",,,"2025-09-18 17:40:22 UTC","time","2025-09-18 17:40:32 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"c6ca3ae6c5e459b42597d6c7d05138db","2025-09-22 15:44:03 UTC","Chrome v140, Windows","127.0.0.1","2025-09-22 16:32:13 UTC",,,"2025-09-22 15:44:03 UTC","time","2025-09-22 15:44:36 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"6178020eaa9769f34e67f8f2b9b7c3b6","2025-09-26 06:47:05 UTC","Chrome v140, Windows","127.0.0.1","",,,"2025-09-26 06:47:05 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"37ad078b43cbe353b8281b011c4ece91","2025-09-26 06:51:41 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 06:52:03 UTC",,,"2025-09-26 06:51:41 UTC","time","2025-09-26 06:51:51 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"3d017b427be226fa4688183e4c48a27a","2025-09-26 06:52:29 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 06:53:58 UTC",,,"2025-09-26 06:52:29 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"dd0c7514b84c84ec8ebb2cf9fdcb0537","2025-09-26 06:59:14 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 06:59:37 UTC",,,"2025-09-26 06:59:14 UTC","time","2025-09-26 06:59:21 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"ab8f74584b77692150113a3ca5488fd0","2025-09-26 15:58:38 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 16:00:15 UTC",,,"2025-09-26 15:58:38 UTC","time","2025-09-26 15:58:42 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"f5c00657015191e4c95b351fd3dd3b3b","2025-09-26 16:00:59 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 16:07:58 UTC",,,"2025-09-26 16:00:59 UTC","time","2025-09-26 16:01:04 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"9669f05447127dbef62f99a019d3d24c","2025-09-26 16:05:45 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 16:07:58 UTC",,,"2025-09-26 16:05:45 UTC","time","2025-09-26 16:06:08 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hp","mpg","2025-09-26 16:05:59 UTC","2025-09-26 16:06:01 UTC"
"89bc84e2dd1ffe2aeae309881f541f7e","2025-09-26 16:08:10 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 16:08:31 UTC",,,"2025-09-26 16:08:10 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mpg","mpg","2025-09-26 16:08:16 UTC","2025-09-26 16:08:14 UTC"
"03e29e2fd84ef20e02c43261ca551f99","2025-09-26 16:08:55 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 20:34:17 UTC",,,"2025-09-26 16:08:55 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hp","cyl","2025-09-26 16:09:02 UTC","2025-09-26 16:09:00 UTC"
"8b8584189fc1f0a16adc2e6670265338","2025-09-26 16:10:21 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 20:34:17 UTC",,,"2025-09-26 16:10:21 UTC","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",""
"f3c88d534e10767d921434e98f91c325","2025-09-26 16:10:49 UTC","Chrome v140, Windows","127.0.0.1","2025-09-26 20:34:18 UTC",,,"2025-09-26 16:10:49 UTC","day","2025-09-26 16:11:23 UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mpg","mpg","2025-09-26 16:11:12 UTC","2025-09-26 16:11:09 UTC"
